ds,y
2014-12-02,138
2014-12-03,160
2014-12-04,154
2014-12-05,124
2014-12-06,104
2014-12-07,119
2014-12-08,120
2014-12-09,158
2014-12-10,142
2014-12-11,153
2014-12-12,120
2014-12-13,110
2014-12-14,96
2014-12-15,150
2014-12-16,149
2014-12-17,143
2014-12-18,153
2014-12-19,112
2014-12-20,101
2014-12-21,102
2014-12-22,135
2014-12-23,117
2014-12-24,110
2014-12-25,106
2014-12-26,110
2014-12-27,118
2014-12-28,102
2014-12-29,133
2014-12-30,121
2014-12-31,76
2015-01-01,151
2015-01-02,130
2015-01-03,113
2015-01-04,110
2015-01-05,119
2015-01-06,103
2015-01-07,163
2015-01-08,145
2015-01-09,125
2015-01-10,107
2015-01-11,98
2015-01-12,132
2015-01-13,165
2015-01-14,139
2015-01-15,147
2015-01-16,130
2015-01-17,108
2015-01-18,103
2015-01-19,156
2015-01-20,149
2015-01-21,135
2015-01-22,134
2015-01-23,127
2015-01-24,80
2015-01-25,102
2015-01-26,136
2015-01-27,146
2015-01-28,164
2015-01-29,150
2015-01-30,130
2015-01-31,119
2015-02-01,102
2015-02-02,158
2015-02-03,154
2015-02-04,131
2015-02-05,136
2015-02-06,111
2015-02-07,109
2015-02-08,107
2015-02-09,160
2015-02-10,143
2015-02-11,152
2015-02-12,155
2015-02-13,133
2015-02-14,105
2015-02-15,102
2015-02-16,140
2015-02-17,165
2015-02-18,156
2015-02-19,167
2015-02-20,111
2015-02-21,103
2015-02-22,118
2015-02-23,136
2015-02-24,141
2015-02-25,144
2015-02-26,154
2015-02-27,92
2015-02-28,107
2015-03-01,106
2015-03-02,140
2015-03-03,159
2015-03-04,158
2015-03-05,133
2015-03-06,125
2015-03-07,110
2015-03-08,95
2015-03-09,145
2015-03-10,137
2015-03-11,126
2015-03-12,154
2015-03-13,125
2015-03-14,95
2015-03-15,97
2015-03-16,143
2015-03-17,148
2015-03-18,156
2015-03-19,149
2015-03-20,132
2015-03-21,108
2015-03-22,119
2015-03-23,133
2015-03-24,154
2015-03-25,159
2015-03-26,159
2015-03-27,147
2015-03-28,89
2015-03-29,110
2015-03-30,148
2015-03-31,138
2015-04-01,142
2015-04-02,131
2015-04-03,116
2015-04-04,113
2015-04-05,110
2015-04-06,104
2015-04-07,141
2015-04-08,142
2015-04-09,132
2015-04-10,119
2015-04-11,76
2015-04-12,94
2015-04-13,147
2015-04-14,140
2015-04-15,138
2015-04-16,119
2015-04-17,110
2015-04-18,99
2015-04-19,97
2015-04-20,142
2015-04-21,155
2015-04-22,136
2015-04-23,143
2015-04-24,111
2015-04-25,101
2015-04-26,106
2015-04-27,131
2015-04-28,170
2015-04-29,141
2015-04-30,123
2015-05-01,128
2015-05-02,87
2015-05-03,120
2015-05-04,137
2015-05-05,147
2015-05-06,147
2015-05-07,125
2015-05-08,132
2015-05-09,103
2015-05-10,102
2015-05-11,139
2015-05-12,157
2015-05-13,146
2015-05-14,87
2015-05-15,123
2015-05-16,117
2015-05-17,93
2015-05-18,152
2015-05-19,142
2015-05-20,136
2015-05-21,131
2015-05-22,113
2015-05-23,95
2015-05-24,91
2015-05-25,156
2015-05-26,138
2015-05-27,130
2015-05-28,155
2015-05-29,139
2015-05-30,110
2015-05-31,111
2015-06-01,145
2015-06-02,149
2015-06-03,154
2015-06-04,161
2015-06-05,137
2015-06-06,107
2015-06-07,104
2015-06-08,136
2015-06-09,132
2015-06-10,165
2015-06-11,133
2015-06-12,133
2015-06-13,124
2015-06-14,127
2015-06-15,151
2015-06-16,152
2015-06-17,153
2015-06-18,126
2015-06-19,110
2015-06-20,111
2015-06-21,101
2015-06-22,132
2015-06-23,148
2015-06-24,113
2015-06-25,138
2015-06-26,120
2015-06-27,100
2015-06-28,99
2015-06-29,127
2015-06-30,147
2015-07-01,128
2015-07-02,126
2015-07-03,115
2015-07-04,111
2015-07-05,104
2015-07-06,143
2015-07-07,119
2015-07-08,109
